segment_id,start_ts,end_ts,dur_s,dist_km,avg_pace_min_km,avg_hr,avg_cad,tag,start_offset_s,end_offset_s,note
1,2025-04-25 20:17:48+00:00,2025-04-25 20:17:53+00:00,5,,,84.3,,warm-up,0,5,
2,2025-04-25 20:19:31+00:00,2025-04-25 20:20:37+00:00,66,0.057,19.4,132.8,114.0,mid-session,103,169,
3,2025-04-25 20:25:45+00:00,2025-04-25 20:25:54+00:00,9,0.011,14.2,192.6,120.8,mid-session,477,486,pause?
4,2025-04-25 20:29:38+00:00,2025-04-25 20:30:08+00:00,30,0.038,13.0,183.1,109.2,mid-session,710,740,
5,2025-04-25 20:36:08+00:00,2025-04-25 20:36:33+00:00,25,0.036,11.7,190.5,98.4,mid-session,1100,1125,pause?
6,2025-04-25 20:39:55+00:00,2025-04-25 20:41:19+00:00,84,0.094,14.8,174.0,104.8,mid-session,1327,1411,
7,2025-04-25 20:42:45+00:00,2025-04-25 20:43:00+00:00,15,0.016,15.4,183.4,164.0,mid-session,1497,1512,pause?
8,2025-04-25 20:49:16+00:00,2025-04-25 20:50:19+00:00,63,0.015,69.2,188.5,80.0,mid-session,1888,1951,
9,2025-04-25 20:53:55+00:00,2025-04-25 20:54:47+00:00,52,0.077,11.3,182.6,106.7,mid-session,2167,2219,
10,2025-04-25 20:58:56+00:00,2025-04-25 21:00:15+00:00,79,0.112,11.8,174.1,111.9,mid-session,2468,2547,
